team,nickname,city,state,first_played,joined_fbs
Air Force,Falcons,Colorado Springs,Colorado,1955,
Akron,Zips,Akron,Ohio,1891,1987
Alabama,Crimson Tide,Tuscaloosa,Alabama,1892,
UAB,Blazers,Birmingham,Alabama,1991,1996
Appalachian State,Mountaineers,Boone,North Carolina,1928,2014
Arizona,Wildcats,Tucson,Arizona,1899,
Arizona State,Sun Devils,Tempe,Arizona,1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,1911,1992
Army,Black Knights,West Point,New York,1890,
Auburn,Tigers,Auburn,Alabama,1891,
Ball State,Cardinals,Muncie,Indiana,1924,
Baylor,Bears,Waco,Texas,1899,
Boise State,Broncos,Boise,Idaho,1933,1996
Boston College,Eagles,Chestnut Hill,Massachusetts,1893,
Bowling Green,Falcons,Bowling Green,Ohio,1919,
Buffalo,Bulls,Buffalo,New York,1894,1999
BYU,Cougars,Provo,Utah,1921,
California,Golden Bears,Berkeley,California,1882,
Fresno State,Bulldogs,Fresno,California,1921,
UCLA,Bruins,Los Angeles,California,1919,
UCF,Knights,Orlando,Florida,1979,1996
Central Michigan,Chippewas,Mount Pleasant,Michigan,1896,
Cincinnati,Bearcats,Cincinnati,Ohio,1885,
Clemson,Tigers,Clemson,South Carolina,1896,
Colorado,Buffaloes,Boulder,Colorado,1890,
Colorado State,Rams,Fort Collins,Colorado,1890,
Connecticut,Huskies,Storrs[2],Connecticut,1896,2000
Duke,Blue Devils,Durham,North Carolina,1888,
Eastern Michigan,Eagles,Ypsilanti,Michigan,1891,
East Carolina,Pirates,Greenville,North Carolina,1932,
Florida,Gators,Gainesville,Florida,1906,
Florida Atlantic,Owls,Boca Raton,Florida,2001,2006
FIU,Panthers,Miami,Florida,2002,2006
Florida State,Seminoles,Tallahassee,Florida,1947,
Georgia,Bulldogs,Athens,Georgia,1891,
Georgia Southern,Eagles,Statesboro,Georgia,1924,2014
Georgia State,Panthers,Atlanta,Georgia,2010,2013
Georgia Tech,Yellow Jackets,Atlanta,Georgia,1892,
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,1909,
Houston,Cougars,Houston,Texas,1946,
Idaho,Vandals,Moscow,Idaho,1893,1997
Illinois,Fighting Illini,Urbana-Champaign,Illinois,1890,
Indiana,Hoosiers,Bloomington,Indiana,1887,
Iowa,Hawkeyes,Iowa City,Iowa,1889,
Iowa State,Cyclones,Ames,Iowa,1892,
Kansas,Jayhawks,Lawrence,Kansas,1890,
Kansas State,Wildcats,Manhattan,Kansas,1896,
Kent State,Golden Flashes,Kent,Ohio,1920,
Kentucky,Wildcats,Lexington,Kentucky,1881,
LSU,Tigers,Baton Rouge,Louisiana,1893,
Louisiana Tech,Bulldogs,Ruston,Louisiana,1901,1989
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,1902,
